gid,건물1,건물2,건물3,도서관,민원행정기관,변압기,전기안전관리자,전기차,교통량,경제인구,주차면수,총점,Rank
다사83bb68ab,0,0,0,0.018181818,0,0,0,0,0,0,0,0.018181818,3496
다사69ba61ab,0.052631579,0,0,0.109090909,0,0.016260163,0.033333333,0,0.016421222,0.005471956,0,0.374400586,1768
다사74aa58aa,0.276315789,0.285714286,0,0.272727273,0,0.016260163,0.033333333,0,0.042117288,0.002393981,0,1.887784409,377
다사73ba71ba,0.644736842,0,0,0.509090909,0,0.028455285,0.066666667,0,0.036353597,0.126538988,0,2.352805046,235
다사70ba66aa,0.039473684,0,0,0.054545455,0,0.004065041,0,0,0.002910461,0,0,0.143378785,2606
다사69ba56ba,0.328947368,0,0,1,0.333333333,0.06504065,0.2,0.076923077,0.002434513,0.742818057,0,4.300620015,28
다사75aa66aa,0.078947368,0,0,0.153846154,0,0,0.066666667,0,0.00101248,0.056087551,0,0.625940953,1257
다사86aa67aa,0,0,0,0.115384615,0,0.008130081,0,0,8.50E-06,0.002393981,0,0.128319649,2725
다사71bb55bb,0.013157895,0,0,0,0,0,0,0,0,0,0,0.026315789,3384
다사67ab63ba,0.039473684,0,0,0.019230769,0,0,0,0,0,0,0,0.098178138,2876
다사67bb71ba,0.013157895,0,0,0.019230769,0,0,0,0,0,0,0,0.045546559,3205
다사83aa50ba,0.144736842,0,0,0.423076923,0,0.028455285,0,0,0.001906923,0.024623803,0,0.794067344,1025
다사69ba60aa,0.263157895,0,0,0,0,0.016260163,0,0,0,0.002393981,0,0.547363914,1382
다사88ab61bb,0.013157895,0,0,0,0,0.004065041,0,0,0,0.008549932,0,0.047480693,3199
다사81ba65ba,0,0,0,0.057692308,0,0,0,0,2.62E-05,0,0,0.057744619,3117
다사71ab66bb,0.065789474,0,0,0,0,0.016260163,0,0,0,0.003077975,0,0.153995061,2560
다사81ab63ab,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사86ab62bb,0,0,0,0,0,0.008130081,0,0,0,0.002735978,0,0.013602038,3504
다사73ba61bb,0,0,0,0.057692308,0,0,0,0,0,0,0,0.057692308,3118
다사83ab51ba,0.026315789,0,0,0.019230769,0,0,0,0,0,0,0,0.071862348,3014
다사73aa68aa,0,0,0,0.134615385,0,0.008130081,0,0,3.13E-06,0.187414501,0,0.517580727,1435
다사71aa61ab,0.223684211,0,0,0.192307692,0,0.016260163,0.066666667,0,0.144970854,0.016415869,0,1.178709721,700
다사79ba57aa,0.263157895,0.571428571,0,0.096153846,0,0.012195122,0,0,0.030223052,0.006497948,0,2.422392472,216
다사82ba61aa,0.684210526,0,0,0.846153846,0,0.020325203,0.166666667,0,0.140459517,0.623461012,0.101604278,4.262741161,30
다사80bb60aa,0.236842105,0,0,0.076923077,0,0.008130081,0.066666667,0,0.000320354,0.008549932,0,0.77647794,1052
다사87ba62ba,0.157894737,0,0,0.153846154,0,0.004065041,0,0,0.026621136,0,0,0.52694294,1418
다사84bb64bb,0.013157895,0,0,0.057692308,0,0.008130081,0,0,3.35E-06,0.005813953,0,0.103772792,2853
다사74ab53bb,0.355263158,0,0,0.519230769,0,0.028455285,0.2,0,0.016712738,0.172024624,0.117647059,2.235687093,261
다사81bb58ab,0.131578947,0,0,0,0,0.004065041,0.133333333,0,0,0,0,0.667222935,1187
다사82ab60ba,0.052631579,0,0,0.480769231,0,0.012195122,0.066666667,0,0.032560541,0.492818057,0,1.848984708,388
다사75ab55aa,0.065789474,0,0,0.134615385,0.333333333,0.012195122,0.033333333,0,9.90E-05,0.003077975,0,0.718076807,1115
다사65ab61ab,0.039473684,0,0,0,0,0,0.033333333,0,0,0,0,0.178947368,2426
다사75ab67ba,0.315789474,0,0,0,0,0.012195122,0.033333333,0,0,0,0,0.743774069,1084
다사82ab47ab,0.026315789,0,0,0.096153846,0,0.008130081,0,0,8.94E-07,0.004787962,0,0.166493218,2488
다사70ba65ba,0.052631579,0,0,0.019230769,0,0.004065041,0,0,0,0,0,0.128558968,2722
다사72bb55bb,0.210526316,0,0,0.288461538,0,0.012195122,0.033333333,0,0.606887949,0,0,2.035485189,321
다사82aa60aa,0,0,0,0,0,0,0,0,0,0.136456908,0,0.272913817,2097
다사71ab66ba,0.052631579,0,0,0,0,0,0.033333333,0,0,0.002051984,0,0.209367125,2303
다사79ab69ab,0.039473684,0,0,0.057692308,0,0.004065041,0,0,1.12E-06,0,0,0.140706953,2639
다사86bb62ba,0.013157895,0,0,0,0,0.004065041,0,0,0,0.005129959,0,0.040640748,3272
다사72aa63ab,0.065789474,0,0,0,0,0,0,0,0,0,0,0.131578947,2697
다사84ab59aa,0.039473684,0,0,0,0,0.004065041,0,0,0,0,0,0.083012409,2954
다사76ab52ba,0.013157895,0,0,0.096153846,0,0.008130081,0,0,0,0,0,0.130599717,2705
다사69ab58ab,0,0,0,0.192307692,0,0.004065041,0.1,0,0.001079322,0.160738714,0,0.820008806,998
다사70bb66bb,0.052631579,0,0,0.038461538,0,0.008130081,0,0,2.91E-06,0,0,0.15186059,2571
다사77ba61aa,0.447368421,0,0,0.346153846,0,0.024390244,0.066666667,0,0.000832965,0.038303694,0,1.543554249,498
다사77ba55ba,0.039473684,0,0,0,0,0,0,0,0,0,0,0.078947368,2968
다사71aa57bb,0.065789474,0,0,0.173076923,0,0.008130081,0,0,0.0004176,0.004103967,0,0.321829087,1922
다사88ab65bb,0.144736842,0,0,0.057692308,0,0.004065041,0.033333333,0,7.24E-05,0.00376197,0,0.458899836,1550
다사88ba62aa,0.184210526,0,0,0,0,0.008130081,0,0,0,0.005813953,0,0.388179041,1736
다사83bb62ab,0.026315789,0,0,0,0,0.016260163,0,0,0,0.006155951,0,0.081203643,2962
다사65aa64bb,0.039473684,0.142857143,0,0,0,0.004065041,0,0,0,0,0,0.511583838,1446
다사72ba56bb,0.013157895,0,0,0.076923077,0,0.008130081,0.1,0,0.010175323,0,0,0.431719594,1615
다사74ba54bb,0,0,0,0.019230769,0,0.004065041,0,0,2.24E-07,0.004103967,0,0.031504192,3337
다사71bb67aa,0.723684211,0,0,0.057692308,0,0.012195122,0.233333333,0,0,0.002735978,0,2.222727807,266
다사76ab71ab,0.092105263,0,0,0,0,0.004065041,0.033333333,0,0,0,0,0.288275567,2043
다사77ab60bb,0.092105263,0,0,0.288461538,0,0.020325203,0.066666667,0,0.028911678,0.264705882,0,1.280232389,637
다사73bb69ba,0.210526316,0,0,0.384615385,0,0.008130081,0.066666667,0,0.014949337,0.006839945,0,1.057376661,780
다사83aa50aa,0.013157895,0,0,0.153846154,0,0.004065041,0,0,0.040711799,0.003077975,0,0.271806532,2103
다사88ba64ba,0.092105263,0,0,0.269230769,0,0.016260163,0.033333333,0,0.003628966,0.017099863,0,0.611159117,1285
다사88ab64ba,0.026315789,0,0,0,0,0.004065041,0,0,0,0.006497948,0,0.069692516,3037
다사84bb64aa,0.078947368,0,0,0,0,0.008130081,0,0,0,0,0,0.166024818,2491
다사73ab66aa,0.092105263,0,0,0.038461538,0,0.012195122,0,0,1.79E-06,0.054035568,0.727272727,0.342941899,1858
다사82bb61bb,0.026315789,0,0,0.538461538,1,0.036585366,0.333333333,0,0.005390579,0.225718194,0,3.089896029,107
다사82bb62ba,0.013157895,0,0,0.134615385,0,0.008130081,0.033333333,0.038461538,7.51E-05,0.404582763,0,1.155300088,718
다사72bb55ab,0.197368421,0,0,0,0,0.004065041,0,0,0,0.009233926,0,0.417269735,1657
다사75bb57ab,0.013157895,0,0,0.038461538,0,0.008130081,0,0,2.68E-06,0.006839945,0,0.086592665,2940
다사74aa73ab,0.236842105,0,0,0.173076923,0,0.008130081,0,0,6.26E-05,0,0,0.655016405,1210
다사77ab53ba,0.092105263,0,0,0.057692308,0,0.004065041,0,0,0,0.011969904,0,0.269907683,2109
다사70bb57bb,0.013157895,0,0,0,0,0,0,0,0,0,0,0.026315789,3384
다사85aa53ba,0,0,0,0.115384615,0,0.004065041,0.066666667,0,9.84E-06,0.004103967,0,0.327677263,1903
다사83aa70aa,0.039473684,0,0,0.230769231,0,0.024390244,0,0,1.05E-05,0.004787962,0,0.343703781,1856
다사88aa62ba,0.157894737,0.142857143,0,0.134615385,0,0.016260163,0,0,0.035595746,0.018467852,0,1.003363646,827
다사77ab56aa,0.026315789,0,0,0,0,0.004065041,0,0,0,0,0,0.05669662,3125
다사66ba61ab,0,0.142857143,0,0,0,0,0.033333333,0.038461538,0,0.103283174,0,0.812060853,1004
다사72ab62ba,0.039473684,0,0,0.019230769,0,0,0.033333333,0,0,0.002735978,0,0.203650094,2329
다사85aa61ba,0.276315789,1,0,0.115384615,0,0.012195122,0.133333333,0,0.000609858,0.031121751,0,4.143674534,39
다사70aa66ab,0.052631579,0,0,0.096153846,0,0.012195122,0,0,0.217763892,0.010259918,0,0.669659747,1184
다사87bb60ba,0.223684211,0,0,0.326923077,0,0.016260163,0,0,0.208763574,0.008891929,0,1.225862666,672
다사72aa60aa,0.052631579,0,0,0,0,0,0,0,0,0,0,0.105263158,2829
다사70bb54ba,0.355263158,0,0,0.192307692,0,0.016260163,0,0,0.222224483,0.01128591,0,1.386114956,584
다사69ab61ab,0.131578947,0,0,0.192307692,0,0.008130081,0.033333333,0,0.00949974,0,0,0.582595149,1329
다사85bb62bb,0.078947368,0,0,0,0,0.008130081,0,0,0,0.008207934,0,0.182440687,2409
다사75bb55bb,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사74aa59ab,0.434210526,0,0,0.692307692,0.333333333,0.044715447,0.4,0.038461538,0.192823665,0.066347469,0.101604278,3.734042872,62
다사83ab70aa,0.065789474,0,0,0.230769231,0,0.016260163,0,0,0.000182867,0.00376197,0,0.386498015,1743
다사75aa71ba,0.526315789,0,0,0.384615385,0,0.044715447,0.1,0,0.018510566,0.196990424,0,2.21296439,271
다사71ba56ab,0.013157895,0,0,0.134615385,0,0.008130081,0,0,2.01E-06,0,0,0.169065279,2475
다사72aa56aa,0.065789474,0,0,0.038461538,0,0.008130081,0,0,0.00016096,0,0,0.178492486,2430
다사81ab65ba,0,0,0,0,0,0.004065041,0,0,0,0,0,0.004065041,3545
다사71aa66bb,0.065789474,0,0,0.038461538,0,0.004065041,0,0,0.000980512,0.003419973,0,0.182906495,2407
다사67ab61ab,0.171052632,0,0,0.346153846,0,0,0,0,0.067977667,0.004103967,0,0.832422377,984
다사66ab63ab,0.131578947,0,0,0.653846154,0,0.008130081,0.266666667,0,0.120973134,0,0,1.967080397,351
다사71bb58bb,0.039473684,0,0,0,0,0.004065041,0,0,0,0,0,0.083012409,2954
다사73bb62ba,0.078947368,0,0,0.019230769,0,0.004065041,0,0,0,0.004103967,0,0.189398481,2383
다사86aa56ba,0.039473684,0,0,0,0,0.004065041,0,0.076923077,0,0.003077975,0,0.243014514,2194
다사85ba62ab,0.263157895,0,0,0.096153846,0,0.016260163,0.033333333,0,1.41E-05,0.006497948,0,0.751753862,1075
다사67ba70ba,0.131578947,0,0,0.019230769,0,0.008130081,0,0,1.79E-06,0.003419973,0,0.297362267,2019
다사74ab69bb,0.618421053,0,0,0.346153846,0,0.012195122,0.1,0,0.001228434,0.011627907,0,1.920903756,369
다사75bb59bb,0.013157895,0,0,0.153846154,0,0.004065041,0,0,0.058219945,0,0,0.300666873,1982
다사74aa59bb,0.026315789,0,0,0.173076923,0,0,0,0,0.002229066,0,0,0.230166633,2237
다사73ba62ba,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사85aa68ab,0.013157895,0,0,0.038461538,0,0,0,0,2.24E-07,0,0,0.064777775,3058
다사74aa62bb,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사84aa62aa,0.105263158,0,0,0.192307692,0,0.020325203,0.033333333,0,0.007691405,0.005813953,0,0.550169929,1377
다사82ab69aa,0.026315789,0,0,0.192307692,0,0.008130081,0.033333333,0,9.90E-05,0.002051984,0,0.357371391,1820
다사72ab57bb,0.039473684,0,0,0.096153846,0,0.004065041,0,0,0.017430572,0.003419973,0,0.220867345,2264
다사71ba69bb,0.026315789,0,0,0.096153846,0,0,0,0,0,0,0,0.148785425,2592
다사71ab63ab,0.052631579,0,0,0.019230769,0,0.004065041,0,0,0,0,0,0.128558968,2722
다사78aa62ba,0.026315789,0,0,0.173076923,0,0.016260163,0,0,0.000125861,0.041723666,0,0.32566772,1912
다사73ab71ab,0.184210526,0,0,0.557692308,0,0.028455285,0.133333333,0,0.035511018,0.146716826,0,1.719024334,432
다사69bb65aa,0.105263158,0,0,0.519230769,0,0.020325203,0,0,0.001484628,0.023939808,0,0.800931161,1016
다사69ba56bb,0.144736842,0,0,0.5,0,0.028455285,0.1,0.076923077,0.027521391,0.578317373,0,2.483452652,202
다사65ab65ba,0.092105263,0,0,0.269230769,0,0,0,0,0.02922868,0,0,0.511898655,1443
다사70bb59aa,0.184210526,0,0,0.019230769,0,0.004065041,0,0,0,0.004103967,0,0.399924797,1696
다사81ab48ab,0.052631579,0,0,0.038461538,0,0.004065041,0,0,0,0.005129959,0,0.158049655,2533
다사69bb56ab,0.407894737,0,0,0.846153846,0,0.036585366,0.066666667,0.038461538,0.216416305,0.248974008,0.058823529,2.906232388,136
다사76ba60aa,0,0,0,0.346153846,0.333333333,0.008130081,0.033333333,0,0.00530138,0.23255814,0,1.2633363,646
다사66ba67ba,0.039473684,0,0,0.384615385,0,0.008130081,0.033333333,0,0,0.692886457,0,1.957465748,355
다사84ba67aa,0.223684211,0.166666667,0,0.288461538,0.333333333,0.024390244,0.1,0,0.064505861,0.038987688,0,2.100540634,299
다사75ab53aa,0.092105263,0,0,0.365384615,0,0.008130081,0.1,0,0.010550448,0.775649795,0,2.430125709,214
다사74ba64ab,0.171052632,0,0,0.461538462,0,0.016260163,0.1,0.076923077,0.004064227,0.724350205,0,2.730578906,162
다사76ba60bb,0.184210526,0.166666667,0,0.230769231,0,0.020325203,0.166666667,0.038461538,0.072698252,0.195964432,0.262032086,2.233763931,262
다사65aa60bb,0.052631579,0,0,0,0,0,0,0,0,0.002393981,0,0.11005112,2805
다사80aa57ba,0.605263158,0,0,0.038461538,0,0.044715447,0.133333333,0,0.000137263,0.006497948,0,1.706973723,437
다사76ba62bb,0,0,0,0,0,0,0,0,0,0.004445964,0,0.008891929,3517
다사76bb53aa,0,0,0,0.115384615,0,0.012195122,0,0,0,0.007181943,0,0.141943622,2629
다사66bb62aa,0.144736842,0,0,0.153846154,0,0,0.033333333,0,0.037224119,0.00752394,0,0.632815957,1244
다사73ab57aa,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사87ab62ab,0.236842105,0,0,0.211538462,0,0.012195122,0,0,0.040507469,0.002735978,0,0.783904689,1039
다사76aa54ba,0.013157895,0,0,0.403846154,0,0.012195122,0,0,0.048740996,0,0,0.539839056,1395
다사85ab54aa,0.026315789,0,0,0.480769231,0,0.032520325,0,0,0.000256417,0.020519836,0,0.607473641,1289
다사81ba55ba,0.039473684,0,0,0,0,0.004065041,0,0,0,0.002393981,0,0.087800371,2935
다사72aa61bb,0.092105263,0,0,0.153846154,0.333333333,0.020325203,0.033333333,0,0.001404819,0.16621067,0,1.126946195,736
다사69ab64bb,0,0,0,0.019230769,0,0,0,0,0,0.00376197,0,0.026754709,3382
다사76ba51aa,0.210526316,0.333333333,0,0.057692308,0,0.016260163,0.166666667,0,0.187504178,0.003077975,0,2.376169408,231
다사74ab63aa,0.039473684,0,0,0,0,0,0,0,0,0.003077975,0,0.085103319,2943
다사68ab61ab,0.447368421,0.166666667,0,0.461538462,0.666666667,0.028455285,0.3,0,0.042009088,0.051641587,0,3.638698604,68
다사85aa60ba,0.328947368,0,0,0.115384615,0,0.012195122,0,0,1.39E-05,0.00752394,0,0.800550075,1018
다사84ab66bb,0.026315789,0,0,0.173076923,0,0.008130081,0.033333333,0,0.000747567,0,0,0.335333718,1877
다사72bb56bb,0.013157895,0,0,0,0,0,0,0,0,0,0,0.026315789,3384
다사83aa73aa,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사72bb54bb,0.013157895,0,0,0,0,0.004065041,0,0,0,0,0,0.03038083,3340
다사80bb69ba,0.078947368,0,0,0,0,0.004065041,0,0,0,0.003077975,0,0.168115728,2482
다사82bb65ba,0.342105263,0,0,0.211538462,0,0.024390244,0.033333333,0,0.000539661,0.006839945,0,1.034898445,805
다사81bb49bb,0.013157895,0,0,0.019230769,0,0.004065041,0,0,0,0.004445964,0,0.058503528,3112
다사82aa61ab,0.131578947,0,0,0.211538462,0,0.016260163,0.1,0,0.001509442,0.070109439,0,0.934194282,880
다사74bb64bb,0.026315789,0,0,0.423076923,0.666666667,0.020325203,0.066666667,0.038461538,0.000209024,0.204172367,0,1.848386231,390
다사72ba63aa,0.118421053,0,0,0,0,0.008130081,0,0,0,0.002051984,0,0.249076154,2177
다사81ba63aa,0,0,0,0,0,0,0,0,0,0,0,0,3568
다사73bb72aa,0.065789474,0,0,0,0,0,0.033333333,0,0,0,0,0.231578947,2226
다사76ab54ab,0.236842105,0,0,0.038461538,0,0.012195122,0,0,5.01E-05,0.00376197,0,0.531964964,1408
다사70ab61ba,0.052631579,0,0,0,0,0,0,0,0,0.002735978,0,0.110735114,2802
